consumidor,tipo_inmueble,moneda_region,mes,dia_semana,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_253,Oficina,BRL,8,1,1,9,3,996.06,Ineficiente
Usuario_254,Casa,COP,2,4,0,34,1,688.67,Moderado
Usuario_255,Oficina,BRL,10,1,1,10,3,535.57,Eficiente
Usuario_256,Apartamento,BRL,12,6,0,11,12,491.69,Ineficiente
Usuario_257,Comercio,USD,7,2,0,16,8,1462.73,Ineficiente
Usuario_258,Oficina,BRL,12,6,1,35,4,1395.05,Ineficiente
Usuario_259,Oficina,BRL,8,6,1,37,8,1117.64,Ineficiente
Usuario_260,Comercio,BRL,5,6,1,34,7,813.19,Eficiente
Usuario_261,Apartamento,BRL,4,6,0,17,1,519.05,Moderado
Usuario_262,Comercio,BRL,6,4,0,34,2,1854.64,Ineficiente
Usuario_263,Oficina,USD,3,2,1,33,3,565.42,Eficiente
Usuario_264,Comercio,USD,4,6,1,23,1,988.6,Moderado
Usuario_265,Comercio,USD,7,4,1,25,2,1529.08,Ineficiente
Usuario_266,Oficina,MXN,1,2,0,22,13,1198.66,Ineficiente
Usuario_267,Apartamento,MXN,1,2,0,31,12,802.76,Ineficiente
Usuario_268,Apartamento,BRL,12,3,1,1,2,409.81,Ineficiente
Usuario_269,Casa,COP,4,6,1,39,9,666.94,Moderado
Usuario_270,Comercio,USD,5,1,1,4,4,654.11,Eficiente
Usuario_271,Comercio,PEN,10,3,1,32,10,1279.98,Ineficiente
Usuario_272,Casa,PEN,9,4,1,10,5,576.03,Ineficiente
Usuario_273,Comercio,USD,10,2,1,27,3,1343.84,Ineficiente
Usuario_274,Casa,CLP,6,0,0,35,9,858.01,Ineficiente
Usuario_275,Casa,ARS,8,0,0,24,5,662.58,Moderado
Usuario_276,Casa,COP,2,2,1,7,13,540.01,Ineficiente
Usuario_277,Oficina,MXN,1,2,1,12,13,1102.15,Ineficiente
Usuario_278,Comercio,PEN,8,5,1,9,2,916.72,Ineficiente
Usuario_279,Comercio,USD,5,1,1,13,1,1046.78,Ineficiente
Usuario_280,Oficina,COP,9,3,0,35,8,1143.15,Ineficiente
Usuario_281,Oficina,USD,11,1,1,4,11,792.68,Ineficiente
Usuario_282,Oficina,COP,2,6,1,26,12,801.9,Ineficiente
Usuario_283,Comercio,ARS,6,1,1,32,6,1025.92,Moderado
Usuario_284,Oficina,BRL,2,5,1,28,10,693.37,Moderado
Usuario_285,Apartamento,CLP,5,2,1,21,11,411.46,Ineficiente
Usuario_286,Oficina,COP,8,4,0,11,12,392.63,Eficiente
Usuario_287,Comercio,COP,8,0,0,23,10,989.09,Moderado
Usuario_288,Comercio,COP,11,6,0,5,11,887.83,Moderado
Usuario_289,Comercio,COP,9,6,0,11,1,733.52,Eficiente
Usuario_290,Apartamento,BRL,10,5,0,3,3,348.68,Moderado
Usuario_291,Casa,MXN,11,2,1,37,1,468.4,Eficiente
Usuario_292,Apartamento,PEN,8,2,1,5,10,157.43,Eficiente
Usuario_293,Apartamento,CLP,6,3,1,18,4,466.04,Ineficiente
Usuario_294,Casa,USD,12,1,1,25,9,607.32,Ineficiente
Usuario_295,Casa,COP,5,5,1,19,12,383.23,Eficiente
Usuario_296,Comercio,MXN,2,1,0,29,3,1383.24,Moderado
Usuario_297,Comercio,USD,11,6,0,23,12,1211.07,Ineficiente
Usuario_298,Casa,CLP,9,2,0,11,12,321.6,Eficiente
Usuario_299,Apartamento,BRL,6,4,1,13,13,475.46,Ineficiente
Usuario_300,Apartamento,MXN,8,0,1,37,6,406.69,Eficiente
Usuario_301,Comercio,BRL,9,1,0,6,2,584.95,Eficiente
Usuario_302,Oficina,ARS,12,5,1,27,13,1024.71,Ineficiente
Usuario_303,Comercio,BRL,10,0,1,21,11,1188.09,Ineficiente
Usuario_304,Casa,ARS,8,5,1,9,13,574.41,Ineficiente
Usuario_305,Apartamento,BRL,3,3,1,4,2,401.01,Ineficiente
Usuario_306,Apartamento,COP,3,1,1,15,6,562.58,Ineficiente
Usuario_307,Oficina,BRL,2,2,1,36,5,1213.91,Ineficiente
Usuario_308,Apartamento,PEN,5,4,1,33,11,424.38,Moderado
Usuario_309,Apartamento,CLP,10,1,1,39,6,668.02,Ineficiente
Usuario_310,Casa,BRL,1,0,1,37,5,776.33,Moderado
Usuario_311,Apartamento,BRL,10,3,0,2,8,294.24,Eficiente
Usuario_312,Oficina,PEN,5,3,1,26,5,456.33,Eficiente
Usuario_313,Comercio,USD,12,0,1,27,8,658.74,Eficiente
Usuario_314,Comercio,MXN,6,4,1,21,12,1559.84,Ineficiente
Usuario_315,Oficina,ARS,3,6,1,36,2,1244.71,Ineficiente
Usuario_316,Oficina,MXN,8,0,1,16,3,935.95,Ineficiente
Usuario_317,Casa,USD,5,3,0,27,4,571.07,Eficiente
Usuario_318,Apartamento,BRL,6,4,0,13,13,300.66,Eficiente
Usuario_319,Apartamento,ARS,9,3,1,20,8,316.19,Eficiente
Usuario_320,Casa,USD,7,4,1,16,4,467.38,Moderado
Usuario_321,Oficina,USD,1,2,1,31,5,988.56,Ineficiente
Usuario_322,Casa,BRL,2,3,1,17,12,881.67,Ineficiente
Usuario_323,Oficina,BRL,7,2,1,4,10,925.19,Ineficiente
Usuario_324,Apartamento,COP,9,2,1,33,8,447.18,Eficiente
Usuario_325,Oficina,BRL,10,5,0,9,2,1067.26,Ineficiente
Usuario_326,Comercio,COP,6,4,0,10,4,1095.74,Moderado
Usuario_327,Comercio,CLP,1,0,1,22,13,1046.61,Ineficiente
Usuario_328,Comercio,CLP,8,1,0,33,3,1051.29,Moderado
Usuario_329,Oficina,CLP,6,1,1,20,10,605.64,Moderado
Usuario_330,Oficina,CLP,9,4,1,37,5,607.31,Eficiente
Usuario_331,Comercio,BRL,1,2,1,8,7,1007.9,Moderado
Usuario_332,Oficina,BRL,12,6,0,2,10,966.9,Ineficiente
Usuario_333,Comercio,COP,11,6,0,38,10,647.69,Eficiente
Usuario_334,Apartamento,PEN,1,4,1,34,11,384.9,Eficiente
Usuario_335,Comercio,MXN,11,1,1,8,4,567.58,Eficiente
Usuario_336,Casa,ARS,6,3,1,14,7,325.62,Eficiente
Usuario_337,Comercio,BRL,12,5,1,9,9,1550.59,Ineficiente
Usuario_338,Apartamento,CLP,6,5,1,25,6,492.78,Ineficiente
Usuario_339,Apartamento,ARS,9,2,1,17,10,420.65,Ineficiente
Usuario_340,Comercio,MXN,4,2,1,15,5,658.06,Eficiente
Usuario_341,Oficina,PEN,4,5,0,21,8,692.74,Moderado
Usuario_342,Oficina,CLP,12,2,1,37,11,884.39,Ineficiente
Usuario_343,Comercio,ARS,6,6,0,19,1,724.64,Eficiente
Usuario_344,Oficina,PEN,2,2,0,17,12,718.35,Moderado
Usuario_345,Comercio,MXN,4,6,1,36,12,1134.5,Moderado
Usuario_346,Oficina,MXN,2,4,0,16,4,1009.8,Ineficiente
Usuario_347,Casa,PEN,9,1,0,4,2,448.22,Moderado
Usuario_348,Comercio,COP,12,3,1,9,1,601.55,Eficiente
Usuario_349,Apartamento,ARS,11,3,1,13,13,347.35,Moderado
Usuario_350,Oficina,COP,5,5,1,6,11,705.36,Ineficiente
Usuario_351,Apartamento,CLP,12,5,0,3,3,278.59,Moderado
Usuario_352,Comercio,BRL,3,0,0,26,13,1586.99,Ineficiente
Usuario_353,Comercio,MXN,12,6,0,3,1,1205.19,Ineficiente
Usuario_354,Oficina,CLP,10,0,0,22,5,464.17,Eficiente
Usuario_355,Comercio,PEN,9,4,1,9,9,491.8,Eficiente
Usuario_356,Comercio,COP,4,6,1,11,12,1027.98,Ineficiente
Usuario_357,Comercio,PEN,5,5,1,22,13,521.38,Eficiente
Usuario_358,Oficina,CLP,11,6,1,26,7,755.58,Ineficiente
Usuario_359,Oficina,USD,7,5,1,9,8,1013.16,Ineficiente
Usuario_360,Oficina,MXN,1,2,1,29,13,1137.94,Ineficiente
Usuario_361,Oficina,COP,5,4,0,1,5,527.09,Eficiente
Usuario_362,Oficina,PEN,4,0,0,30,5,874.03,Moderado
Usuario_363,Apartamento,ARS,11,4,0,20,12,442.35,Moderado
Usuario_364,Casa,PEN,5,2,0,15,3,511.52,Moderado
Usuario_365,Comercio,MXN,8,5,0,24,7,1581.23,Ineficiente
Usuario_366,Comercio,BRL,9,6,0,14,13,960.86,Moderado
Usuario_367,Apartamento,PEN,10,6,0,34,8,729.7,Ineficiente
Usuario_368,Oficina,USD,10,0,1,36,9,1186.22,Ineficiente
Usuario_369,Apartamento,CLP,9,1,1,34,8,352.38,Eficiente
Usuario_370,Casa,PEN,4,5,1,6,9,253.09,Eficiente
Usuario_371,Comercio,BRL,1,3,1,27,8,885.84,Eficiente
Usuario_372,Casa,CLP,8,5,0,2,7,203.64,Eficiente
Usuario_373,Oficina,BRL,1,5,1,5,1,517.5,Eficiente
Usuario_374,Comercio,COP,12,0,1,4,2,1134.04,Ineficiente
Usuario_375,Comercio,USD,5,3,1,9,13,518.16,Eficiente
Usuario_376,Comercio,COP,7,3,0,25,7,998.7,Moderado
Usuario_377,Casa,PEN,11,6,1,23,2,732.99,Ineficiente
Usuario_378,Apartamento,CLP,7,4,1,15,1,219.33,Eficiente
Usuario_379,Casa,COP,8,5,0,28,9,852.5,Ineficiente
Usuario_380,Comercio,BRL,4,1,1,10,5,825.42,Eficiente
Usuario_381,Apartamento,PEN,2,0,0,27,10,342.08,Eficiente
Usuario_382,Casa,MXN,4,0,1,3,8,557.73,Ineficiente
Usuario_383,Casa,MXN,12,0,1,15,9,763.88,Ineficiente
